
a2ps.rb                         :_: "Any-to-PostScript filter"

cloc.rb                         :_: "Statistics utility to count lines of code"

clockywock.rb                   :_: "Ncurses analog clock"

clog.rb                         :_: "Colorized pattern-matching log tail utility."

clojurescript.rb                :_: "Clojure to JS compiler"

cloog.rb                        :_: "Generate code for scanning Z-polyhedra"

closure-compiler.rb             :_: "JavaScript optimizing compiler"

closure-linter.rb               :_: "Check JavaScript files for style and documentation"

cloud-watch.rb                  :_: "Amazon CloudWatch command-line Tool"

cloudbees-sdk.rb                :_: "Command-line tools to make use of the CloudBees Platform"

clozure-cl.rb                   :_: "Common Lisp implementation with a long history"

clpbar.rb                       :_: "Command-line progress bar"

clucene.rb                      :_: "C++ port of Lucene: high-performance, full-featured text search engine"

clutter-gst.rb                  :_: "ClutterMedia interface using GStreamer for video and audio"

